img,ann,phase,split,fold
data/public/img/train/0a0e0c6fa16fe04faa5564fbd1a4fda8.jpg,data/public/ann/train/0a0e0c6fa16fe04faa5564fbd1a4fda8.png,public,train,1
data/public/img/train/0a15d53535f213c058a7ee9b6b34fd2c.jpg,data/public/ann/train/0a15d53535f213c058a7ee9b6b34fd2c.png,public,train,0
data/public/img/train/0a33a7b7928d7fc811e01ed70fdf15c8.jpg,data/public/ann/train/0a33a7b7928d7fc811e01ed70fdf15c8.png,public,train,1
data/public/img/train/0a35cfbfbc9bc7a99d1946e0039eb7bd.jpg,data/public/ann/train/0a35cfbfbc9bc7a99d1946e0039eb7bd.png,public,train,3
data/public/img/train/0a37b171afac1b1b71e7818fc2c778d8.jpg,data/public/ann/train/0a37b171afac1b1b71e7818fc2c778d8.png,public,train,2
data/public/img/train/0a58d8f302e341a38354ec0c870e2fa6.jpg,data/public/ann/train/0a58d8f302e341a38354ec0c870e2fa6.png,public,train,4
data/public/img/train/0a59c713886c6b8948be675892099870.jpg,data/public/ann/train/0a59c713886c6b8948be675892099870.png,public,train,0
data/public/img/train/0a069db36d3be4821643efdf57ce3a50.jpg,data/public/ann/train/0a069db36d3be4821643efdf57ce3a50.png,public,train,1
data/public/img/train/0a80e2a4043a285593de6f923254c8fb.jpg,data/public/ann/train/0a80e2a4043a285593de6f923254c8fb.png,public,train,1
data/public/img/train/0a98a816b86cd82327a8e1c83079562e.jpg,data/public/ann/train/0a98a816b86cd82327a8e1c83079562e.png,public,train,2
data/public/img/train/0a675ce0f76d5d14e691f7e47a9b0152.jpg,data/public/ann/train/0a675ce0f76d5d14e691f7e47a9b0152.png,public,train,3
data/public/img/train/0a4607e9cc7fdfe4f9dc20b6ce0af79c.jpg,data/public/ann/train/0a4607e9cc7fdfe4f9dc20b6ce0af79c.png,public,train,3
data/public/img/train/0a18046b6b507492869249b8ef4fcacb.jpg,data/public/ann/train/0a18046b6b507492869249b8ef4fcacb.png,public,train,3
data/public/img/train/0a592667e4bd765aa67c0766cbe104c7.jpg,data/public/ann/train/0a592667e4bd765aa67c0766cbe104c7.png,public,train,1
